lotNumber,vendor,name,vendorItemNo,quantity,price,type
10024N,AP,budesonide 50 microgram/actuation + eformoterol fumarate dihydrate 3 microgram/actuation pressurised inhalation; 120 actuations,Symbicort Rapihaler 50/3,2,19.24,Medication
10025P,RO,erlotinib 150 mg tablet; 30,Tarceva,30,1310.46,Medication
10026Q,BX,cyclophosphamide 50 mg tablet; 50,Endoxan,50,61.75,Medication
10027R,FK,benzatropine mesilate 2 mg/2 mL injection; 10 x 2 mL vials,Benztropine Omega,10,232.28,Medication
10028T,RO,erlotinib 25 mg tablet; 30,Tarceva,30,291.85,Medication
1002R,GK,aciclovir 3% eye ointment; 4.5 g,Zovirax,1,25.1,Medication
10032B,TK,alogliptin 12.5 mg + metformin hydrochloride 850 mg tablet; 56,Nesina Met 12.5/850,56,46.67,Medication
10033C,TK,alogliptin 12.5 mg + metformin hydrochloride 500 mg tablet; 56,Nesina Met 12.5/500,56,45.74,Medication
10034D,OA,budesonide 2 mg/application enema; 2 x 14 applications,Budenofalk,1,165.13,Medication
10035E,TK,alogliptin 12.5 mg + metformin hydrochloride 1 g tablet; 56,Nesina Met 12.5/1000,56,47.05,Medication
10036F,VF,arachidonic acid and docosahexaenoic acid with carbohydrate containing 200 mg arachidonic acid and 100 mg docosahexaenoic acid oral liquid: powder for; 30 x 4 g sachets,keyomega,4,80.54,Medication
10037G,VF,triglycerides long chain oral liquid; 18 x 250 mL cartons,carbzero,2,128.07,Medication
10038H,BY,linagliptin 2.5 mg + metformin hydrochloride 500 mg tablet; 60,Trajentamet,60,49.01,Medication
10039J,VF,carbohydrates; fat; vitamins; minerals; trace elements and supplemented with arachidonic acid and docosahexaenoic acid providing 200 kilocalories powder for oral liquid; 30 x 43 g sachets,basecal 200,4,104.1,Medication
1003T,HX,aciclovir 200 mg tablet; 25,Aciclovir Sandoz,50,7.13,Medication
1003T,AF,aciclovir 200 mg tablet; 25,Acyclo-V 200,50,7.13,Medication
10040K,VF,docosahexaenoic acid with carbohydrate containing 200 mg docosahexaenoic acid oral liquid: powder for; 30 x 4g sachets,docomega,4,80.54,Medication
10041L,NV,pazopanib 400 mg tablet; 60,Votrient,60,4527.28,Medication
10042M,NV,pazopanib 200 mg tablet; 90,Votrient,90,3395.46,Medication
10043N,NV,pazopanib 400 mg tablet; 60,Votrient,60,4527.28,Medication
10044P,BY,linagliptin 2.5 mg + metformin hydrochloride 1 g tablet; 60,Trajentamet,60,50.42,Medication
10045Q,BY,linagliptin 2.5 mg + metformin hydrochloride 850 mg tablet; 60,Trajentamet,60,50.01,Medication
10046R,AG,bimatoprost 0.03% eye drops; 30 x 0.4 mL unit doses,Lumigan PF,1,23.17,Medication
10047T,NV,pazopanib 200 mg tablet; 90,Votrient,90,3395.46,Medication
10048W,AP,saxagliptin 2.5 mg + metformin hydrochloride 1 g modified release tablet; 56,Kombiglyze XR 2.5/1000,56,47.05,Medication
10049X,VF,triglycerides medium chain oral liquid; 18 x 250 mL cartons,betaquik,2,158.64,Medication
1004W,RW,acetazolamide 250 mg tablet; 100,Diamox,100,13.34,Medication
10050Y,VF,carbohydrates; fat; vitamins; minerals; trace elements and supplemented with arachidonic acid and docosahexaenoic acid providing 100 kilocalories powder for oral liquid; 30 x 21.5 g sachets,basecal 100,4,52.05,Medication
10051B,AP,saxagliptin 5 mg + metformin hydrochloride 1 g modified release tablet; 28,Kombiglyze XR 5/1000,28,45.74,Medication
10052C,NV,pazopanib 400 mg tablet; 30,Votrient,30,2263.64,Medication
10053D,AG,bimatoprost 0.03% eye drops; 30 x 0.4 mL unit doses,Lumigan PF,1,23.17,Medication
10054E,NV,pazopanib 200 mg tablet; 30,Votrient,30,1131.82,Medication
10055F,AP,saxagliptin 5 mg + metformin hydrochloride 500 mg modified release tablet; 28,Kombiglyze XR 5/500,28,45.04,Medication
10059K,NV,glycopyrronium 50 microgram powder for inhalation; 30 capsules,seebri breezhaler,30,47.32,Medication
10061M,AN,denosumab 120 mg/1.7 mL injection; 1.7 mL vial,Xgeva,1,446.5,Medication
10062N,FR,temozolomide 180 mg capsule; 5,Astromide,15,259.07,Medication
10062N,TX,temozolomide 180 mg capsule; 5,APO-Temozolomide,15,259.07,Medication
10062N,MK,temozolomide 180 mg capsule; 5,Temodal,15,259.07,Medication
10062N,ON,temozolomide 180 mg capsule; 5,Orion Temozolomide,15,259.07,Medication
10066T,NV,tobramycin 28 mg powder for inhalation; 224 capsules,TOBI podhaler,224,2282.85,Medication
10074F,NV,tobramycin 28 mg powder for inhalation; 224 capsules,TOBI podhaler,224,2282.85,Medication
10075G,LO,betamethasone (as dipropionate) 0.05% + calcipotriol 0.005% gel; 60 g,Daivobet 50/500 gel,1,48.38,Medication
10076H,JT,nicotine 25 mg/16 hours patch; 28,nicorette 16hr Invisipatch,28,39.14,Medication
1007B,RA,aciclovir 200 mg tablet; 90,Ozvir,90,25.67,Medication
1007B,CR,aciclovir 200 mg tablet; 90,Aciclovir 200,90,25.67,Medication
1007B,GK,aciclovir 200 mg tablet; 90,Zovirax 200 mg,90,25.67,Medication
1007B,AF,aciclovir 200 mg tablet; 90,Acyclo-V 200,90,25.67,Medication
1007B,GX,aciclovir 200 mg tablet; 90,GenRx Aciclovir,90,25.67,Medication
1007B,GQ,aciclovir 200 mg tablet; 90,Aciclovir GH,90,25.67,Medication
1007B,HX,aciclovir 200 mg tablet; 90,Aciclovir Sandoz,90,25.67,Medication
1007B,EA,aciclovir 200 mg tablet; 90,Lovir,90,25.67,Medication
10080M,GA,clobetasol propionate 0.05% shampoo; 125 mL,Clobex,1,35.08,Medication
10086W,IO,sapropterin dihydrochloride 100 mg soluble tablet; 30,Kuvan,180,860,Medication
10087X,IO,sapropterin dihydrochloride 100 mg soluble tablet; 30,Kuvan,180,860,Medication
10089B,MK,sitagliptin 100 mg + metformin hydrochloride 1 g tablet: modified release; 28,Janumet XR,28,43.52,Medication
10090C,MK,sitagliptin 50 mg + metformin hydrochloride 1 g modified release tablet; 56,Janumet XR,56,44.83,Medication
10091D,CS,tapentadol 200 mg modified release tablet; 28,Palexia SR,28,31.18,Medication
10092E,CS,tapentadol 250 mg modified release tablet; 28,Palexia SR,28,36.44,Medication
10093F,VF,arginine with carbohydrate containing 5 g arginine oral liquid: powder for; 30 x 7.6 g sachets,Arginine 5000,4,215.94,Medication
10094G,CS,tapentadol 100 mg modified release tablet; 28,Palexia SR,28,17.94,Medication
10096J,CS,tapentadol 50 mg modified release tablet; 28,Palexia SR,28,10.62,Medication
10100N,CS,tapentadol 150 mg modified release tablet; 28,Palexia SR,28,24.97,Medication
10103R,EA,exemestane 25 mg tablet; 30,Exemestane AN,30,58.26,Medication
10103R,SZ,exemestane 25 mg tablet; 30,Exemestane Sandoz,30,58.26,Medication
10103R,TX,exemestane 25 mg tablet; 30,APO-Exemestane,30,58.26,Medication
10103R,PF,exemestane 25 mg tablet; 30,Aromasin,30,58.26,Medication
10103R,RA,exemestane 25 mg tablet; 30,Exaccord,30,58.26,Medication
10103R,GQ,exemestane 25 mg tablet; 30,Exemestane GH,30,58.26,Medication
10104T,VL,iron (as ferric carboxymaltose) 500 mg/10 mL injection; 1 x 10 mL vial,ferinject,2,136,Medication
10107Y,AG,bimatoprost 0.03% + timolol 0.5% eye drops; 30 x 0.4 mL unit doses,GANfort PF 0.3/5,1,26.64,Medication
10108B,AG,bimatoprost 0.03% + timolol 0.5% eye drops; 30 x 0.4 mL unit doses,GANfort PF 0.3/5,1,26.64,Medication
1010E,RC,aspirin 300 mg effervescent tablet; 96,Solprin,96,1.41,Medication
10113G,AS,ticarcillin 3 g + clavulanic acid 100 mg injection; 3.1 g vial,Timentin,10,12.61,Medication
10119N,EU,betaine 1 g/g powder for oral liquid; 180 g,Cystadane,1,504.19,Medication
1011F,AF,doxepin 10 mg capsule; 50,Deptran 10,50,2.69,Medication
1011F,PF,doxepin 10 mg capsule; 50,Sinequan,50,2.69,Medication
10124W,FK,aclidinium 322 microgram/actuation inhalation: powder for; 60 actuations,Bretaris Genuair,1,47.32,Medication
10125X,AS,ticarcillin 3 g + clavulanic acid 100 mg injection; 3.1 g vial,Timentin,10,12.61,Medication
10126Y,NE,macrogol-3350 13.12 g/25 mL + sodium chloride 350.7 mg/25 mL + potassium chloride 46.6 mg/25 mL (0.63 mmol/25 mL potassium) + sodium bicarbonate 178.5 mg/25 mL oral liquid; 500 mL,Movicol Liquid,2,4.69,Medication
10128C,AP,saxagliptin 2.5 mg tablet; 28,Onglyza,28,44.34,Medication
1012G,AF,doxepin 50 mg tablet; 50,Deptran 50,50,3.53,Medication
10131F,NV,everolimus 5 mg tablet; 30,Afinitor,30,2565,Medication
10132G,NV,everolimus 10 mg tablet; 30,Afinitor,30,5130,Medication
10133H,NV,everolimus 5 mg tablet; 30,Afinitor,30,2565,Medication
10135K,NV,everolimus 10 mg tablet; 30,Afinitor,30,5130,Medication
10137M,UC,certolizumab pegol 200 mg/mL injection; 2 x 1 mL syringes,Cimzia,2,1287.53,Medication
10138N,NV,ranibizumab 1.65 mg/0.165 mL injection; 1 x 0.165 mL syringe,Lucentis,1,1036,Medication
1013H,AF,doxepin 25 mg capsule; 50,Deptran 25,50,2.79,Medication
1013H,PF,doxepin 25 mg capsule; 50,Sinequan,50,2.79,Medication
10142T,AF,oestradiol 1 mg + dydrogesterone 5 mg tablet; 28,Femoston-Conti,28,9.98,Medication
10143W,GK,salbutamol 200 microgram powder for inhalation; 128 capsules,Ventolin Rotacaps,256,4.99,Medication
10146B,AF,oestradiol 1 mg tablet [14] (&) oestradiol 1 mg + dydrogesterone 10 mg tablet [14]; 1 pack,Femoston 1/10,1,9.98,Medication
10149E,VF,vitamins; minerals and trace elements with carbohydrate powder for oral liquid; 30 x 6 g sachets,FruitiVits,1,242.53,Medication
10151G,EI,perampanel 10 mg tablet; 28,Fycompa,28,307.81,Medication
10152H,SB,triglycerides medium chain formula powder for oral liquid; 400 g,Monogen,8,43.83,Medication
10154K,NT,triglycerides medium chain formula powder for oral liquid; 400 g,Peptamen Junior,8,42.75,Medication
10155L,VF,triglycerides medium chain formula powder for oral liquid; 400 g,Lipistart,8,46.21,Medication
10156M,NV,indacaterol 110 microgram + glycopyrronium 50 microgram powder for inhalation; 30 capsules,ultibro breezhaler 110/50,30,75.77,Medication
10157N,EI,perampanel 2 mg tablet; 7,Fycompa,14,19.24,Medication
10159Q,EI,perampanel 12 mg tablet; 28,Fycompa,28,307.81,Medication
10160R,EI,perampanel 8 mg tablet; 28,Fycompa,28,307.81,Medication
10161T,VF,amino acid formula without valine; leucine and isoleucine containing 5 g of protein equivalent oral liquid: powder for; 30 x 6 g sachets,MSUD amino5,12,246,Medication
10162W,EI,perampanel 4 mg tablet; 28,Fycompa,28,153.92,Medication
10163X,EI,perampanel 6 mg tablet; 28,Fycompa,28,230.88,Medication
10167D,GK,fluticasone furoate 200 microgram/actuation + vilanterol 25 microgram/actuation powder for inhalation; 30 actuations,Breo Ellipta 200/25,1,56.3,Medication
10168E,PF,voriconazole 40 mg/mL powder for oral liquid; 70 mL,Vfend,1,439.14,Medication
1016L,LM,adrenaline 1 in 1000 (1 mg/mL) injection; 5 x 1 mL ampoules,Link Medical Products Pty Ltd,5,10.69,Medication
10173K,AF,voriconazole 50 mg tablet; 56,Vttack,56,439.14,Medication
10173K,RW,voriconazole 50 mg tablet; 56,Vzole,56,439.14,Medication
10173K,TX,voriconazole 50 mg tablet; 56,Voriconazole APOTEX,56,439.14,Medication
10173K,PF,voriconazole 50 mg tablet; 56,Vfend,56,439.14,Medication
10173K,SZ,voriconazole 50 mg tablet; 56,Voriconazole Sandoz,56,439.14,Medication
10174L,LL,enzalutamide 40 mg capsule; 112,Xtandi,112,3553.3,Medication
10176N,EA,doxycycline 100 mg tablet; 21,Doxycycline AN,21,4.08,Medication
10176N,AF,doxycycline 100 mg tablet; 21,Doxylin 100,21,4.08,Medication
10181W,LU,escitalopram 20 mg/mL oral liquid; 15 mL,Lexapro,1,24.15,Medication
10185C,SB,high fat formula with vitamins; minerals and trace elements and low in protein and carbohydrate (4:1 ratio long chain fat to carbohydrate plus protein) oral liquid; 32 x 200 mL cartons,KetoCal 4:1 LQ,5,166.61,Medication
10187E,GK,umeclidinium 62.5 microgram/actuation inhalation: powder for; 30 actuations,Incruse Ellipta,1,47.32,Medication
10188F,GK,umeclidinium 62.5 microgram/actuation + vilanterol 25 microgram/actuation powder for inhalation; 30 actuations,Anoro Ellipta 62.5/25,1,75.77,Medication
10189G,SB,triglycerides long chain with glucose polymer oral liquid; 27 x 200 mL cartons,Sno-Pro,2,74.47,Medication
10195N,VF,glycine with carbohydrate containing 500 mg of glycine oral liquid: powder for; 30 x 4 g sachets,Glycine500,4,113.93,Medication
10198R,RW,voriconazole 200 mg tablet; 56,Vzole,56,1756.57,Medication
10198R,AF,voriconazole 200 mg tablet; 56,Vttack,56,1756.57,Medication
10198R,TX,voriconazole 200 mg tablet; 56,Voriconazole APOTEX,56,1756.57,Medication
10198R,PF,voriconazole 200 mg tablet; 56,Vfend,56,1756.57,Medication
10198R,SZ,voriconazole 200 mg tablet; 56,Voriconazole Sandoz,56,1756.57,Medication
10199T,GK,fluticasone furoate 100 microgram/actuation + vilanterol 25 microgram/actuation powder for inhalation; 30 actuations,Breo Ellipta 100/25,1,41.88,Medication
10201X,MK,rosuvastatin 20 mg tablet [30] (&) ezetimibe 10 mg tablet [30]; 1 pack,Rosuzet Composite Pack,1,55.62,Medication
10202Y,BY,empagliflozin 25 mg tablet; 30,Jardiance,30,47.01,Medication
10203B,NO,oestradiol 10 microgram modified release pessary; 18,Vagifem Low,18,19.76,Medication
10204C,MK,rosuvastatin 5 mg tablet [30] (&) ezetimibe 10 mg tablet [30]; 1 pack,Rosuzet Composite Pack,1,53.67,Medication
10205D,BN,testosterone undecanoate 1 g/4 mL injection; 4 mL vial,Reandron 1000,1,113.25,Medication
10206E,BY,empagliflozin 10 mg tablet; 30,Jardiance,30,47.01,Medication
10207F,MK,rosuvastatin 40 mg tablet [30] (&) ezetimibe 10 mg tablet [30 tablets]; 1 pack,Rosuzet Composite Pack,1,57.25,Medication
10208G,MK,rosuvastatin 10 mg tablet [30] (&) ezetimibe 10 mg tablet [30]; 1 pack,Rosuzet Composite Pack,1,54.53,Medication
10210J,CS,pneumococcal purified capsular polysaccharides 25 microgram/0.5 mL injection; 0.5 mL syringe,Pneumovax 23,1,35.12,Medication
10211K,XH,mifepristone 200 mg tablet [1] (&) misoprostol 200 microgram tablet [4]; 1 pack,MS-2 Step,1,275.87,Medication
10212L,BD,peginterferon beta-1a 125 microgram/0.5 mL injection; 2 x 0.5 mL injection devices,Plegridy,2,940.01,Medication
10214N,LM,mercaptopurine 20 mg/mL oral liquid; 100 mL,Allmercap,1,386.65,Medication
10218T,BD,peginterferon beta-1a 63 microgram/0.5 mL injection [0.5 mL injection device] (&) peginterferon beta-1a 94 microgram/0.5 mL injection [0.5 mL injection device]; 1 pack,Plegridy,1,940.01,Medication
10219W,LU,aripiprazole 400 mg injection: modified release [1 x 400 mg vial] (&) inert substance diluent [1 vial]; 1 pack,Abilify Maintena,1,331.5,Medication
10220X,BD,peginterferon beta-1a 125 microgram/0.5 mL injection; 2 x 0.5 mL injection devices,Plegridy,2,940.01,Medication
10224D,LU,aripiprazole 300 mg injection: modified release [1 x 300 mg vial] (&) inert substance diluent [1 vial]; 1 pack,Abilify Maintena,1,265.2,Medication
10225E,RZ,coal tar prepared 2% foam; 100 g,Scytera,1,21.56,Medication
10226F,BN,sorafenib 200 mg tablet; 60,Nexavar,120,2997.59,Medication
10229J,AS,iron (as sucrose) 100 mg/5 mL injection; 5 x 5 mL ampoules,Venofer,5,26.94,Medication
10231L,SZ,desvenlafaxine 100 mg modified release tablet; 28,Desvenlafaxine Sandoz,28,22.65,Medication
10231L,AF,desvenlafaxine 100 mg modified release tablet; 28,Desfax,28,22.65,Medication
10231L,EA,desvenlafaxine 100 mg modified release tablet; 28,Desvenlafaxine Actavis,28,22.65,Medication
10231L,RW,desvenlafaxine 100 mg modified release tablet; 28,DESVEN,28,22.65,Medication
10234P,TX,desvenlafaxine 50 mg modified release tablet; 28,APO-Desvenlafaxine MR,28,18.45,Medication
10234P,GQ,desvenlafaxine 50 mg modified release tablet; 28,Desvenlafaxine GH XR,28,18.45,Medication
10238W,UC,certolizumab pegol 200 mg/mL injection; 2 x 1 mL syringes,Cimzia,2,1287.53,Medication
10241B,EA,desvenlafaxine 50 mg modified release tablet; 28,Desvenlafaxine Actavis,28,18.45,Medication
10241B,RW,desvenlafaxine 50 mg modified release tablet; 28,DESVEN,28,18.45,Medication
10241B,AF,desvenlafaxine 50 mg modified release tablet; 28,Desfax,28,18.45,Medication
10241B,SZ,desvenlafaxine 50 mg modified release tablet; 28,Desvenlafaxine Sandoz,28,18.45,Medication
10242C,BN,sorafenib 200 mg tablet; 60,Nexavar,120,2997.59,Medication
10245F,GQ,desvenlafaxine 100 mg modified release tablet; 28,Desvenlafaxine GH XR,28,22.65,Medication
10245F,TX,desvenlafaxine 100 mg modified release tablet; 28,APO-Desvenlafaxine MR,28,22.65,Medication
1024X,GQ,olanzapine 2.5 mg tablet; 28,Olanzapine generichealth 2.5,28,3.39,Medication
10250L,FN,iron (as sucroferric oxyhydroxide) 500 mg tablet: chewable; 90,Velphoro,90,376.73,Medication
10254Q,FP,mesalazine 4 g modified release granules; 30 sachets,Pentasa,30,254.36,Medication
10255R,VE,leuprorelin acetate 30 mg modified release injection [1 syringe] (&) inert substance diluent [1 syringe]; 1 pack,Lucrin Depot Paediatric 30 mg PDS,1,1253.43,Medication
10256T,VE,leuprorelin acetate 30 mg modified release injection [1 syringe] (&) inert substance diluent [1 syringe]; 1 pack,Lucrin Depot Paediatric 30 mg PDS,1,1253.43,Medication
10257W,OA,mesalazine 3 g granules; 30 sachets,Salofalk,30,194.83,Medication
10258X,SB,amino acid formula with vitamins and minerals without phenylalanine oral liquid: powder for; 30 x 36 g sachets,PKU Anamix Junior,4,223.94,Medication
10259Y,SB,amino acid formula with vitamins and minerals without valine; leucine and isoleucine oral liquid: powder for; 30 x 36 g sachets,MSUD Anamix Junior,4,467.4,Medication
10260B,SB,amino acid formula with vitamins and minerals without phenylalanine and tyrosine oral liquid: powder for; 30 x 36 g sachets,TYR Anamix Junior,4,467.4,Medication
10261C,CS,diphtheria toxoid 2 Lf/0.5 mL + tetanus toxoid 2 Lf/0.5 mL injection; 10 x 0.5 mL vials,MassBiologics tetanus and diphtheria toxoids adsorbed,10,116.54,Medication
10293R,UC,lacosamide 50 mg tablet; 14,Vimpat,56,18.28,Medication
10295W,AL,esomeprazole 20 mg capsule; 30,Noxicid Caps,30,12.58,Medication
10295W,EA,esomeprazole 20 mg capsule; 30,Esomeprazole ACTAVIS,30,12.58,Medication
10322G,PF,crizotinib 250 mg capsule; 60,Xalkori,60,7128.3,Medication
10323H,PF,crizotinib 200 mg capsule; 60,Xalkori,60,7128.3,Medication
10330Q,AL,esomeprazole 40 mg capsule; 30,Noxicid Caps,30,21.33,Medication
10330Q,EA,esomeprazole 40 mg capsule; 30,Esomeprazole ACTAVIS,30,21.33,Medication
10331R,AL,esomeprazole 40 mg capsule; 30,Noxicid Caps,30,21.33,Medication
10331R,EA,esomeprazole 40 mg capsule; 30,Esomeprazole ACTAVIS,30,21.33,Medication
10332T,QH,glycomacropeptide and essential amino acids with vitamins and minerals containing 15 g protein oral liquid; 30 x 250 mL cartons,PKU Glytactin RTD 15,4,360.72,Medication
10343J,EA,esomeprazole 20 mg capsule; 30,Esomeprazole ACTAVIS,30,12.58,Medication
10343J,AL,esomeprazole 20 mg capsule; 30,Noxicid Caps,30,12.58,Medication
1034K,AP,terbutaline sulfate 500 microgram/mL injection; 5 x 1 mL ampoules,Bricanyl,5,18.57,Medication
10359F,QH,glycomacropeptide and essential amino acids with vitamins and minerals containing 10 g protein oral liquid; 30 x 250 mL cartons,PKU Glytactin RTD 10,4,240.48,Medication
10373Y,NV,ranibizumab 2.3 mg/0.23 mL injection; 0.23 mL vial,Lucentis,1,1036,Medication
10374B,NV,ranibizumab 1.65 mg/0.165 mL injection; 1 x 0.165 mL syringe,Lucentis,1,1036,Medication
10375C,SB,triglycerides medium chain formula oral liquid; 8 x 500 mL pouches,Nutrini Peptisorb,8,92.07,Medication
10376D,MK,ezetimibe 10 mg + atorvastatin 80 mg tablet; 30,Atozet,30,56.76,Medication
10377E,MK,ezetimibe 10 mg + atorvastatin 40 mg tablet; 30,Atozet,30,55.28,Medication
10378F,LX,testosterone 5% (50 mg/mL) cream; 50 mL,AndroForte 5,1,58.46,Medication
1037N,GQ,olanzapine 5 mg tablet; 28,Olanzapine generichealth 5,28,6.71,Medication
10380H,HB,testosterone 1% (12.5 mg/actuation) gel; 2 x 60 actuations,Testogel,1,71.25,Medication
10382K,NV,trametinib 2 mg tablet; 30,Mekinist,30,8612.17,Medication
10385N,NV,trametinib 500 microgram tablet; 30,Mekinist,90,2153.04,Medication
10389T,VE,adalimumab 20 mg/0.4 mL injection; 2 x 0.4 mL syringes,Humira,2,1383.58,Medication
10392Y,MK,ezetimibe 10 mg + atorvastatin 10 mg tablet; 30,Atozet,30,53.5,Medication
10393B,MK,ezetimibe 10 mg + atorvastatin 20 mg tablet; 30,Atozet,30,54.29,Medication
10396E,VE,adalimumab 20 mg/0.4 mL injection; 2 x 0.4 mL syringes,Humira,2,1383.58,Medication
10397F,VE,adalimumab 40 mg/0.8 mL injection; 6 x 0.8 mL cartridges,Humira,1,4150.74,Medication
10399H,VE,adalimumab 40 mg/0.8 mL injection; 2 x 0.8 mL syringes,Humira,2,1383.58,Medication
10400J,VE,adalimumab 40 mg/0.8 mL injection; 2 x 0.8 mL cartridges,Humira,2,1383.58,Medication
10403M,NV,trametinib 500 microgram tablet; 30,Mekinist,90,2153.04,Medication
10404N,VE,adalimumab 40 mg/0.8 mL injection; 6 x 0.8 mL syringes,Humira,1,4150.74,Medication
10405P,NV,trametinib 2 mg tablet; 30,Mekinist,30,8612.17,Medication
10410X,VF,amino acid formula with vitamins and minerals without phenylalanine oral liquid; 30 x 130 mL pouch,PKU Air 15,4,335.5,Medication
10411Y,VF,amino acid formula with vitamins and minerals without phenylalanine oral liquid; 30 x 174 mL pouch,PKU Air 20,4,453.06,Medication
10412B,VE,adalimumab 40 mg/0.8 mL injection; 2 x 0.8 mL syringes,Humira,2,1383.58,Medication
10413C,VE,adalimumab 40 mg/0.8 mL injection; 2 x 0.8 mL cartridges,Humira,2,1383.58,Medication
10414D,BQ,apixaban 5 mg tablets; 28,Eliquis,28,37.39,Medication
10416F,TB,glatiramer acetate 40 mg/mL injection; 12 x 1 mL syringes,Copaxone,12,925.78,Medication
10419J,VE,adalimumab 40 mg/0.8 mL injection; 2 x 0.8 mL syringes,Humira,2,1383.58,Medication
1041T,GQ,olanzapine 7.5 mg tablet; 28,Olanzapine generichealth 7.5,28,10.17,Medication
10420K,VE,adalimumab 40 mg/0.8 mL injection; 2 x 0.8 mL cartridges,Humira,2,1383.58,Medication
10422M,VE,adalimumab 20 mg/0.4 mL injection; 2 x 0.4 mL syringes,Humira,2,1383.58,Medication
10425Q,NV,secukinumab 150 mg/mL injection; 2 x 1 mL injection devices,Cosentyx,2,1510.52,Medication
1042W,GQ,olanzapine 10 mg tablet; 28,Olanzapine generichealth 10,28,13.56,Medication
10445R,FK,febuxostat 80 mg tablet; 28,Adenuric,28,37.06,Medication
10459L,PF,sunitinib 37.5 mg capsule; 28,Sutent,28,4810.08,Medication
10460M,MK,posaconazole 100 mg modified release tablet; 24,Noxafil,24,745.72,Medication
10464R,PF,sunitinib 37.5 mg capsule; 28,Sutent,28,4810.08,Medication
10466W,SB,amino acid formula with vitamins and minerals without lysine and low in tryptophan powder for oral liquid; 500 g,XLYS; LOW TRY Maxamum,9,309.58,Medication
1046C,BQ,fluphenazine decanoate 12.5 mg/0.5 mL injection; 5 x 0.5 mL ampoules,Modecate,5,9.83,Medication
10473F,PF,sunitinib 37.5 mg capsule; 28,Sutent,28,4810.08,Medication
10474G,ZI,lisdexamfetamine dimesilate 50 mg capsule; 30,Vyvanse,30,95.8,Medication
10486X,ZI,lisdexamfetamine dimesilate 30 mg capsule; 30,Vyvanse,30,95.8,Medication
10492F,ZI,lisdexamfetamine dimesilate 70 mg capsule; 30,Vyvanse,30,95.8,Medication
10494H,NV,secukinumab 150 mg/mL injection; 2 x 1 mL injection devices,Cosentyx,2,1510.52,Medication
10503T,PF,sunitinib 37.5 mg capsule; 28,Sutent,28,4810.08,Medication
10504W,PF,sunitinib 37.5 mg capsule; 28,Sutent,28,4810.08,Medication
10505X,BN,aflibercept 4 mg/0.1 mL injection; 0.1 mL vial,Eylea,1,1036,Medication
10509D,BY,tiotropium 2.5 microgram/actuation inhalation solution; 60 actuations,Spiriva Respimat,1,44.95,Medication
10510E,AP,dapagliflozin 5 mg + metformin hydrochloride 1 g modified release tablet; 56,Xigduo XR 5/1000,56,46.59,Medication
10511F,PF,tofacitinib 5 mg tablet; 56,Xeljanz,56,1630.01,Medication
10515K,AP,dapagliflozin 10 mg + metformin hydrochloride 1 g modified release tablet; 28,Xigduo XR 10/1000,28,45.28,Medication
10516L,AP,dapagliflozin 10 mg + metformin hydrochloride 500 mg modified release tablet; 28,Xigduo XR 10/500,28,44.58,Medication
10517M,PF,tofacitinib 5 mg tablet; 56,Xeljanz,56,1630.01,Medication
10520Q,TS,ponatinib 15 mg tablet; 60,Iclusig,60,5608.61,Medication
10522T,NT,amino acid formula with fat; carbohydrate; vitamins; minerals; trace elements and medium chain triglycerides oral liquid: powder for; 400 g,Alfamino Junior,8,39.15,Medication
